,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
496,Bachelors,2016,Bangalore,3,27,Male,No,5,0
497,Bachelors,2016,Bangalore,3,28,Female,No,3,0
502,Bachelors,2012,Bangalore,3,25,Male,Yes,3,0
503,Bachelors,2014,New Delhi,3,28,Female,No,2,0
504,Bachelors,2017,New Delhi,2,27,Female,No,5,0
506,Masters,2014,New Delhi,3,28,Male,No,2,0
510,Bachelors,2016,Bangalore,3,24,Male,No,2,0
511,Bachelors,2012,Bangalore,3,24,Male,Yes,2,0
512,Bachelors,2015,Bangalore,3,28,Female,No,1,0
513,Bachelors,2014,Bangalore,3,24,Male,No,2,0
514,Bachelors,2013,Pune,3,27,Male,No,5,0
515,Bachelors,2016,New Delhi,3,24,Female,No,2,0
516,Bachelors,2012,Bangalore,3,25,Female,No,3,0
517,Bachelors,2012,Pune,3,28,Male,No,3,0
520,Bachelors,2016,Bangalore,3,27,Female,No,5,0
521,Masters,2015,Pune,2,24,Female,No,2,0
523,Bachelors,2013,Bangalore,3,25,Male,No,3,0
524,Masters,2017,New Delhi,3,24,Male,No,2,0
525,Bachelors,2015,Bangalore,3,25,Male,No,3,0
526,Bachelors,2017,Bangalore,3,24,Male,No,2,0
527,Bachelors,2017,New Delhi,2,28,Male,No,3,0
528,Bachelors,2016,Bangalore,3,28,Male,No,2,0
529,PHD,2014,New Delhi,3,24,Male,No,2,0
530,Masters,2017,New Delhi,2,26,Female,No,4,0
536,Masters,2013,New Delhi,3,28,Male,No,2,0
537,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
539,Masters,2013,New Delhi,3,25,Female,No,3,0
540,Bachelors,2016,Bangalore,3,25,Male,No,3,0
543,Bachelors,2013,Bangalore,3,24,Male,No,2,0
544,Bachelors,2013,Bangalore,3,28,Male,No,2,0
545,Masters,2015,Pune,3,28,Female,Yes,2,0
547,Masters,2014,Pune,2,27,Female,No,5,0
548,Bachelors,2017,New Delhi,2,27,Male,No,5,0
549,Bachelors,2012,Bangalore,3,26,Male,No,4,0
550,Masters,2015,Pune,1,27,Female,No,5,0
553,Bachelors,2013,Bangalore,3,27,Male,No,5,0
554,Masters,2017,New Delhi,2,25,Male,No,3,0
555,Bachelors,2017,Bangalore,3,27,Male,No,5,0
556,Bachelors,2012,Bangalore,3,24,Male,No,2,0
557,Bachelors,2017,New Delhi,3,26,Male,No,4,0
559,Bachelors,2015,Bangalore,3,25,Male,No,3,0
561,Bachelors,2017,Bangalore,3,24,Female,No,2,0
563,Bachelors,2012,Bangalore,3,25,Male,No,3,0
565,Bachelors,2015,Pune,3,26,Male,No,4,0
566,Bachelors,2014,Pune,3,26,Male,No,4,0
567,PHD,2017,New Delhi,3,27,Male,No,5,0
568,Bachelors,2012,Bangalore,3,26,Male,No,4,0
569,Bachelors,2016,Bangalore,3,26,Male,No,4,0
570,Bachelors,2017,New Delhi,3,28,Female,No,2,0
571,Bachelors,2014,Pune,3,25,Female,No,3,0
572,Bachelors,2013,Bangalore,3,28,Male,Yes,3,0
573,Bachelors,2017,Bangalore,3,25,Male,No,3,0
575,Bachelors,2017,Bangalore,3,26,Male,No,4,0
578,Bachelors,2015,Pune,3,28,Male,No,3,0
580,Masters,2015,New Delhi,3,28,Female,Yes,2,0
582,Bachelors,2016,Bangalore,3,25,Female,No,3,0
583,Masters,2017,New Delhi,2,26,Female,No,4,0
584,Bachelors,2014,Bangalore,3,25,Male,No,3,0
587,Bachelors,2016,Pune,3,26,Male,No,4,0
588,Bachelors,2014,Bangalore,3,27,Male,No,5,0
589,Bachelors,2012,Bangalore,3,25,Male,No,3,0
590,Masters,2012,Pune,2,26,Female,No,4,0
592,PHD,2017,Bangalore,3,28,Male,No,1,0
593,Bachelors,2014,Bangalore,3,27,Male,No,5,0
595,Bachelors,2018,Bangalore,1,27,Male,No,5,0
596,Bachelors,2016,Pune,3,24,Male,No,2,0
597,Bachelors,2012,Bangalore,3,25,Male,No,3,0
598,Bachelors,2017,Bangalore,3,27,Male,No,5,0
599,Bachelors,2016,Bangalore,3,28,Male,No,2,0
600,Bachelors,2017,New Delhi,2,27,Male,No,5,0
601,Bachelors,2013,Bangalore,3,25,Male,No,3,0
602,Bachelors,2013,Bangalore,3,28,Male,No,1,0
604,Bachelors,2016,Bangalore,3,27,Male,Yes,5,0
605,Masters,2015,Pune,2,28,Female,No,3,0
607,Bachelors,2017,New Delhi,3,24,Male,No,2,0
611,Bachelors,2014,Pune,3,26,Male,No,4,0
612,Bachelors,2016,Bangalore,3,26,Male,No,4,0
614,Bachelors,2015,Pune,3,28,Male,No,3,0
615,Bachelors,2012,Bangalore,3,26,Male,No,4,0
616,Bachelors,2017,New Delhi,2,26,Male,No,4,0
617,Masters,2017,New Delhi,2,26,Female,No,4,0
619,Bachelors,2013,Bangalore,3,26,Male,Yes,4,0
621,Bachelors,2014,New Delhi,3,28,Female,No,3,0
623,Bachelors,2016,Pune,3,28,Male,No,3,0
625,Bachelors,2015,Bangalore,3,25,Male,No,3,0
626,Bachelors,2014,Pune,3,27,Male,No,5,0
627,Bachelors,2012,Pune,3,28,Male,No,3,0
629,Bachelors,2013,Bangalore,3,25,Male,Yes,3,0
631,PHD,2013,Bangalore,1,26,Male,No,4,0
633,Bachelors,2016,Bangalore,1,28,Male,No,2,0
634,Bachelors,2017,Bangalore,3,27,Male,No,5,0
635,Bachelors,2017,Bangalore,3,25,Male,No,3,0
637,Bachelors,2015,Bangalore,1,25,Female,Yes,3,0
639,Bachelors,2014,Bangalore,3,26,Male,No,4,0
643,Bachelors,2016,Bangalore,3,27,Female,No,5,0
647,Bachelors,2017,New Delhi,2,28,Male,No,3,0
648,Bachelors,2015,Bangalore,3,27,Male,No,5,0
649,Bachelors,2017,Bangalore,3,26,Male,No,4,0
650,Bachelors,2016,Bangalore,3,25,Male,No,3,0
651,Bachelors,2013,Pune,3,25,Male,No,3,0
653,Bachelors,2014,Bangalore,3,28,Female,No,3,0
654,Bachelors,2015,Pune,3,24,Male,No,2,0
655,Bachelors,2016,Bangalore,3,26,Female,No,4,0
656,Bachelors,2018,Bangalore,1,25,Male,Yes,3,0
657,Masters,2017,Pune,2,28,Female,No,1,0
659,Bachelors,2017,Bangalore,3,25,Male,No,3,0
660,Bachelors,2016,Bangalore,3,28,Female,No,3,0
661,Bachelors,2014,Bangalore,3,28,Female,No,2,0
662,Masters,2017,New Delhi,2,28,Male,No,2,0
663,Bachelors,2017,New Delhi,2,24,Female,No,2,0
665,Bachelors,2017,Bangalore,3,24,Male,No,2,0
666,Bachelors,2017,Bangalore,3,26,Female,No,4,0
667,Bachelors,2015,Bangalore,1,25,Male,No,3,0
668,Bachelors,2016,Bangalore,3,26,Female,No,4,0
671,Bachelors,2016,New Delhi,3,27,Female,No,5,0
673,Bachelors,2017,Bangalore,3,26,Male,No,4,0
674,Bachelors,2016,New Delhi,3,27,Female,Yes,5,0
679,Bachelors,2017,Bangalore,1,26,Female,No,4,0
681,Bachelors,2012,New Delhi,3,26,Female,No,4,0
682,Bachelors,2012,Pune,3,25,Male,No,3,0
685,Bachelors,2016,New Delhi,3,28,Female,No,2,0
686,Bachelors,2016,Pune,3,26,Male,No,4,0
687,Masters,2014,New Delhi,3,24,Male,No,2,0
688,Bachelors,2013,Bangalore,3,26,Male,No,4,0
690,Bachelors,2014,Pune,3,25,Male,No,3,0
691,Bachelors,2013,Pune,3,27,Male,No,5,0
694,Bachelors,2016,Pune,3,26,Male,No,4,0
696,Bachelors,2017,Bangalore,3,26,Male,No,4,0
697,Masters,2017,Pune,2,26,Female,No,4,0
698,Bachelors,2017,New Delhi,3,27,Female,Yes,5,0
699,Masters,2017,Pune,1,24,Male,No,2,0
700,Masters,2017,New Delhi,2,26,Female,No,4,0
701,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0
702,Bachelors,2015,Bangalore,3,26,Male,No,4,0
704,Bachelors,2017,Bangalore,3,26,Female,No,4,0
705,Bachelors,2014,Bangalore,3,26,Male,No,4,0
707,Masters,2017,New Delhi,2,24,Male,No,2,0
710,Bachelors,2017,Bangalore,3,27,Male,No,5,0
714,Bachelors,2017,Bangalore,3,27,Female,No,5,0
715,Bachelors,2016,Bangalore,3,26,Male,No,4,0
716,Bachelors,2015,Pune,2,27,Male,No,5,0
717,Bachelors,2015,Bangalore,3,26,Male,No,4,0
719,Bachelors,2016,Bangalore,3,24,Male,No,2,0
720,Bachelors,2014,Bangalore,3,24,Male,No,2,0
722,Bachelors,2012,Bangalore,3,26,Female,No,4,0
725,Bachelors,2016,Bangalore,3,24,Female,No,2,0
727,Masters,2016,Pune,3,24,Male,No,2,0
729,Bachelors,2015,Bangalore,1,28,Female,No,1,0
